sample,gt_rows,pred_rows,joined_rows,row_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,precision,recall,f1_score,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample6_34v5upx_,16111,16111,16111,1.0,7,4509,7,0,7,0,4502,1.0,7,0,0,1.0,1.0,1.0,,,0.9941300087783856,0.9642857142857143,100.0,True,93104.0,6.0,152.9606008529663,,,,,,,,
sample3_p6up_i9k,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,19317.0,4.0,68.523033618927,,,,,,,,
sample1_8uoid0j_,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9860964558376265,1.0,100.0,True,47262.0,5.0,497.028484582901,,,,,,,,
sample10_tk9_25fj,16111,16111,16111,1.0,8,6,6,0,6,2,0,0.75,1,5,2,0.16666666666666666,0.75,0.27272727272727276,,,0.7351498975855005,0.35185185185185186,12.5,False,274129.0,7.0,264.85984802246094,,,,,,,,
sample13_dyk0nw5h,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,2,8,0,0.2,1.0,0.33333333333333337,,,0.732189187511638,0.8514870509607352,20.0,False,39118.0,4.0,82.37436771392822,,,,,,,,
sample20_f2gjmjy4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.4047545155483831,0.2,0.0,False,,,,,,,,,,,
sample9_6ciijbhf,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.6666666666666666,,,0.9380392278567438,0.8677380952380952,50.0,False,165490.0,10.0,355.51679491996765,,,,,,,,
sample4_6bp53vk0,16111,16111,16111,1.0,4,4920,4,0,4,0,4916,1.0,1,3,0,0.25,1.0,0.4,,,0.9324064303891751,0.26785714285714285,25.0,False,709852.0,12.0,429.791228055954,,,,,,,,
sample19_esk4zlka,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,0.9999999999999999,,,100.0,True,142699.0,14.0,206.72185373306274,,,,,,,,
sample5_19ybfndf,16111,16111,16111,1.0,5,6,3,0,3,2,3,0.6,3,0,2,1.0,0.6,0.7499999999999999,,,0.9979103304160718,0.875,60.0,False,53806.0,6.0,167.44997262954712,,,,,,,,
sample8_rm85_yiq,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.8469919217687075,0.6291666666666667,0.0,False,190444.0,7.0,408.1705689430237,,,,,,,,
sample18_p1dnuzb_,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,7,1,0,0.875,1.0,0.9333333333333333,0.0,1.0,0.9724393253805019,0.9402573529411764,87.5,False,391091.0,13.0,518.1908366680145,,,,,,,,
sample2_tj0ihcw5,16111,16111,16111,1.0,1,2080,1,0,1,0,2079,1.0,1,0,0,1.0,1.0,1.0,,,0.9770343243746509,1.0,100.0,True,37910.0,5.0,118.76388764381409,,,,,,,,
sample7_s23_omi8,16111,13220,13220,0.8205573831543665,5,5,5,0,5,0,0,1.0,4,1,0,0.8,1.0,0.888888888888889,,,0.9054462934947051,0.7977777777777778,80.0,False,121472.0,6.0,263.51048493385315,,,,,,,,
sample11_gqsmvlml,16111,16111,16111,1.0,8,13,5,0,5,3,8,0.625,4,1,3,0.8,0.625,0.7017543859649122,,,0.9618273229470548,0.8197802197802198,50.0,False,57606.0,6.0,135.68371987342834,,,,,,,,
sample15_t0to5neu,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,11050.0,3.0,51.609718799591064,,,,,,,,
sample16_ur3o03h2,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.8,30.30017694728194,0.9985820907562536,0.9890137173359816,0.984375,66.66666666666666,False,56028.0,4.0,279.03996682167053,,,,,,,,
sample12_p8qupp0f,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,0.9938344402375189,0.979779411764706,100.0,True,256070.0,9.0,487.5559575557709,,,,,,,,
sample17_kead73g9,16111,14105,14105,0.8754887964744584,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,358837.0,14.0,387.10439586639404,,,,,,,,
sample14_xrfnuyn6,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,6,10,0,0.375,1.0,0.5454545454545454,,,0.858501179318478,0.740995115995116,37.5,False,62740.0,4.0,282.2745625972748,,,,,,,,
AGGREGATE,322220,309095,309095,0.9592669604617962,102,11603,95,8,87,7,11508,0.9487500000000001,57,38,7,0.6,0.9313725490196079,0.7298335467349553,10.100058982427313,0.9995273635854178,0.9066191883569011,0.8037027052694318,,,,,,64.45833333333334,8.0,3088025.0,162527.63157894736,139.0,7.315789473684211,5157.13028383255,271.42790967539736
