sample,gt_rows,pred_rows,joined_rows,row_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,precision,recall,f1_score,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample12_zvh1qk07,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,0.9915482175739143,0.9629629629629629,100.0,True,327974.0,12.0,358.38974809646606,,,,,,,,
sample8_5634vwvg,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,1,3,0,0.25,1.0,0.4,,,0.8748139880952381,0.6864583333333334,25.0,False,448613.0,10.0,1563.1120619773865,,,,,,,,
sample7_10yzarwx,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.6881261250077587,0.3904761904761905,0.0,False,78350.0,4.0,133.76978182792664,,,,,,,,
sample18_7irreibt,16111,16111,16111,1.0,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,0.9914344236856806,0.96875,100.0,True,275365.0,9.0,529.4088869094849,,,,,,,,
sample15_x3deca40,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,43915.0,6.0,44.16317796707153,,,,,,,,
sample4_msawtgws,16111,16111,16111,1.0,4,1,0,0,0,4,1,0.0,0,0,4,,0.0,,,,,,0.0,False,120614.0,8.0,133.11305499076843,,,,,,,,
sample11_v8gl3jcm,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,3,3,2,0.5,0.75,0.6,,,0.8654335547141705,0.923076923076923,37.5,False,207267.0,10.0,156.50156211853027,,,,,,,,
sample10_2_z4_178,16111,16111,16111,1.0,8,6,6,0,6,2,0,0.75,5,1,2,0.8333333333333334,0.75,0.7894736842105262,,,0.9654583824716032,0.6867724867724867,62.5,False,108549.0,6.0,141.0185329914093,,,,,,,,
sample14_i431l6hj,16111,16111,16111,1.0,16,18,16,0,16,0,2,1.0,10,6,0,0.625,1.0,0.7692307692307693,,,0.9632432809881447,0.7803687631812631,62.5,False,658259.0,13.0,663.3629078865051,,,,,,,,
sample13_ewgqk1pt,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,0.9967413568369438,0.9177777777777777,100.0,True,102932.0,6.0,105.63174700737,,,,,,,,
sample6__36tmj8c,16111,16111,16111,1.0,7,4510,7,0,7,0,4503,1.0,7,0,0,1.0,1.0,1.0,,,0.9929152220754232,0.9250463821892393,100.0,True,155032.0,9.0,134.93422317504883,,,,,,,,
sample19_536tack5,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,74122.0,7.0,96.3808262348175,,,,,,,,
sample20_yybpefj4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.763825957420396,0.6363636363636364,0.0,False,420000.0,14.0,259.77038741111755,,,,,,,,
sample5_wzv6hc1z,16111,16111,16111,1.0,5,6,5,0,5,0,1,1.0,5,0,0,1.0,1.0,1.0,,,0.9948606542114083,0.5772727272727273,100.0,True,81009.0,6.0,94.02503895759583,,,,,,,,
sample9_e0l4hw38,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9657997641363044,0.9157608695652174,100.0,True,98587.0,7.0,92.15968108177185,,,,,,,,
sample1_rllzfd_p,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9862826640183725,1.0,100.0,True,24909.0,4.0,42.82892417907715,,,,,,,,
sample3_7tdwk38_,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,45549.0,6.0,39.43248701095581,,,,,,,,
sample16_15ar64_b,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,2,4,0,0.3333333333333333,1.0,0.5,24.47906022314414,0.9989416638947272,0.8251660356278319,0.8823529411764706,33.33333333333333,False,294101.0,12.0,187.7199831008911,,,,,,,,
sample2_rdp206kc,16111,16111,16111,1.0,1,6,1,0,1,0,5,1.0,1,0,0,1.0,1.0,1.0,,,0.9770343243746509,1.0,100.0,True,104567.0,7.0,102.28293585777283,,,,,,,,
sample17_0n81_i8n,16111,15873,15873,0.9852274843274781,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,107710.0,9.0,81.68237519264221,,,,,,,,
AGGREGATE,322220,308576,308576,0.9576562596983427,102,4608,94,8,86,8,4514,0.925,71,23,8,0.7553191489361702,0.9215686274509803,0.8302027615375046,8.159686741048047,0.9996472212982423,0.9357046639576578,0.8474133330082348,,,,,,71.04166666666666,12.0,3777424.0,188871.2,165.0,8.25,4959.688323974609,247.98441619873046
